feature,importance
SMA50,0.34476590491825887
BB_upper,0.22532735942546778
BB_lower,0.22462076486737284
SMA200,0.09723733363187959
Volatility,0.07364355438734338
MACD,0.01567848926732432
MACD_signal,0.012974697427854802
Momentum_10d,0.005060143241538346
RSI,0.0006917528329600733
